Biomass(g/m^2),Juncellus serotinus,Carex scabrifolia,Imperate cylindrica,Scirpus mariqueter,Scirpus triqueter,
0,226.4,1651.68,179.2,307.68,3251.04,3622.4
5,416.64,1396.64,258.88,264.32,3351.52,6666.24
10,374.56,1523.2,232,240.64,2353.44,5992.96
15,568.8,2039.36,274.72,188.32,2168.64,9100.8
20,350.08,2593.76,117.44,110.08,1780.16,5601.28
25,833.12,2785.92,23.2,360,1360.16,13329.92
30,333.12,2757.76,0,367.2,1183.2,5329.92
